-1.70076668988389	6378000
-341.854016260666	6378002.73543391
-682.006740653136	6378010.96527985
-1022.15841733117	6378024.76599337
-1362.30852381832	6378044.21470277
-1702.46080196662	6378069.3892085
-2042.71737117984	6378100.36745588
-2383.27995969579	6378137.22591354
-2724.35659772441	6378180.03901118
-3066.1573527269	6378228.87909961
-3408.88995247124	6378283.81671228
-3752.66344643584	6378344.92741753
-4097.4870160342	6378412.29353926
-4443.36551948247	6378485.99842759
-4790.30384760051	6378566.12619146
-5138.30692461473	6378652.76171122
-5487.37970908165	6378745.99065226
-5837.52719493601	6378845.89947953
-6188.75441266773	6378952.575473
-6541.06643063217	6379066.1067442
-6894.56055641384	6379186.57408908
-7249.86870219156	6379314.01040787
-7607.24219066607	6379448.48017834
-7966.84523669978	6379590.05483185
-8328.84621791089	6379738.80473678
-8693.4174994718	6379894.79915162
-9060.73526475656	6380058.10618381
-9430.97935163962	6380228.79275434
-9804.33309430206	6380406.92456799
-10180.9831704472	6380592.56608949
-10561.1194367483	6380785.78044338
-10944.9342586839	6380986.62694609
-11332.6221205699	6381195.16024659
-11724.3799362767	6381411.43269067
-12120.4069200908	6381635.49443369
-12520.9044326794	6381867.39341585
-12926.0758324155	6382107.1753472
-13336.1263324784	6382354.88370248
-13751.2628641797	6382610.55972647
-14171.6939469935	6382874.24244986
-14597.5312421428	6383145.66008287
-15027.8341545265	6383421.28341613
-15462.4517501489	6383700.1574808
-15901.5610545473	6383982.35269792
-16345.345053086	6384267.9416197
-16793.9937673594	6384557.00145474
-17247.7037224986	6384849.61211316
-17706.6788805768	6385145.85819649
-18171.1307538902	6385445.82867993
-18641.2794508516	6385749.6189147
-19117.3537952132	6386057.33018401
-19599.591378491	6386369.0692658
-20088.2402528843	6386684.95139887
-20583.5595954433	6387005.10095086
-21085.8194976372	6387329.65010526
-21595.3041976944	6387658.74456744
-22112.3102678858	6387992.5388433
-22637.1505625541	6388331.20288136
-23170.1544232301	6388674.92110456
-23711.6731456976	6389023.90078607
-24262.7192738348	6389379.45498992
-24824.1836381516	6389742.63623762
-25396.5250867677	6390113.7324493
-25980.0852998999	6390492.83009527
-26575.1562704534	6390879.93214371
-27182.0309271185	6391275.04103643
-27801.0031020389	6391678.15871873
-28432.3675001071	6392089.28666762
-29076.4196699748	6392508.4259183
-29733.45593589	6392935.57703484
-30403.7708148552	6393370.73674554
-31087.655401415	6393813.89606533
-31785.401026189	6394265.04537719
-32497.2996416851	6394724.17498203
-33223.6438567849	6395191.27516523
-33964.7269749218	6395666.3362617
-34720.8430359133	6396149.34871967
-35492.2868614263	6396640.30316308
-36279.3541040756	6397139.19045307
-37082.3413001658	6397646.00174842
-37901.5459261086	6398160.72856523
-38737.2664585526	6398683.36283584
-39589.8024382799	6399213.89696728
